2020-02-05 13:48:36 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:48:36 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:48:37 configure linux-libc-dev:amd64 4.15.0-76.86 <none>
2020-02-05 13:48:37 status unpacked linux-libc-dev:amd64 4.15.0-76.86
2020-02-05 13:48:37 status half-configured linux-libc-dev:amd64 4.15.0-76.86
2020-02-05 13:48:37 status installed linux-libc-dev:amd64 4.15.0-76.86
2020-02-05 13:48:37 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1 <none>
2020-02-05 13:48:37 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:48:38 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:48:38 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:48:38 configure tcpdump:amd64 4.9.3-0ubuntu0.18.04.1 <none>
2020-02-05 13:48:38 status unpacked tcpdump:amd64 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:48:38 status unpacked tcpdump:amd64 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:48:39 status half-configured tcpdump:amd64 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:48:41 status installed tcpdump:amd64 4.9.3-0ubuntu0.18.04.1
2020-02-05 13:48:41 configure linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1 <none>
2020-02-05 13:48:41 status unpacked linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:41 status half-configured linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:44 status installed linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:44 status triggers-pending linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:45 configure linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1 <none>
2020-02-05 13:48:45 status unpacked linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:46 status half-configured linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:47 status installed linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:48 configure libjavascriptcoregtk-4.0-18:amd64 2.26.3-0ubuntu0.18.04.1 <none>
2020-02-05 13:48:48 status unpacked libjavascriptcoregtk-4.0-18:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:48:49 status half-configured libjavascriptcoregtk-4.0-18:amd64 2.26.3-0ubuntu0.18.04.1
